מצב עסקה,תאריך יצירה,סכום לחיוב,האם ליצור חשבונית,שם מוצר,ערך משתמש להחזרה
הצלחה,01/11/2019 23:52,2,מסומן,100 Instagram Post likes for 2$,162
הצלחה,03/11/2019 21:15,2,מסומן,100 Instagram Post likes for 2$,171
הצלחה,03/11/2019 21:58,2,מסומן,100 Instagram Post likes for 2$,172
הצלחה,04/11/2019 14:42,2,מסומן,100 Instagram Post likes for 2$,177
הצלחה,08/11/2019 21:03,2,מסומן,100 Instagram Post likes for 2$,181
הצלחה,09/11/2019 21:14,2,מסומן,100 Instagram Post likes for 2$,182
הצלחה,10/11/2019 05:28,2,מסומן,200 Facebook post likes for 2$,185
הצלחה,13/11/2019 01:10,2,מסומן,100 Instagram Post likes for 2$,186
הצלחה,14/11/2019 12:17,2,מסומן,100 Instagram Post likes for 2$,198
הצלחה,15/11/2019 17:38,2,מסומן,100 Instagram Post likes for 2$,202
הצלחה,17/11/2019 16:09,2,מסומן,100 Instagram Post likes for 2$,211
הצלחה,18/11/2019 09:24,2,מסומן,100 Instagram Post likes for 2$,214
הצלחה,19/11/2019 23:30,2,מסומן,100 Instagram Post likes for 2$,218
הצלחה,25/11/2019 03:29,2,מסומן,100 Instagram Post likes for 2$,226
הצלחה,28/11/2019 13:12,2,מסומן,100 Instagram Post likes for 2$,239
הצלחה,07/12/2019 21:19,2,מסומן,100 Instagram Post likes for 2$,246
הצלחה,14/11/2019 11:41,3,מסומן,200 Instagram Followers for 3$,195
הצלחה,14/11/2019 15:15,3,מסומן,200 Instagram Followers for 3$,200
הצלחה,14/11/2019 15:18,3,מסומן,200 Instagram Followers for 3$,201
הצלחה,17/11/2019 14:15,3,מסומן,200 Instagram Followers for 3$,204
הצלחה,17/11/2019 14:19,3,מסומן,200 Instagram Followers for 3$,205
הצלחה,17/11/2019 14:21,3,מסומן,200 Instagram Followers for 3$,206
הצלחה,17/11/2019 14:24,3,מסומן,200 Instagram Followers for 3$,208
הצלחה,01/12/2019 18:22,3,מסומן,200 Instagram Followers for 3$,244
הצלחה,08/12/2019 12:55,3,מסומן,200 Instagram Followers for 3$,250
הצלחה,02/11/2019 17:04,4,מסומן,200 Instagram Post likes for 4$,164
הצלחה,02/11/2019 17:06,4,מסומן,200 Instagram Post likes for 4$,167
הצלחה,03/11/2019 16:49,4,מסומן,200 Instagram Post likes for 4$,170
הצלחה,07/11/2019 01:29,4,מסומן,200 Instagram Post likes for 4$,180
הצלחה,17/11/2019 14:26,4,מסומן,200 Instagram Post likes for 4$,209
הצלחה,17/11/2019 14:28,4,מסומן,200 Instagram Post likes for 4$,210
הצלחה,26/11/2019 23:33,4,מסומן,200 Instagram Post likes for 4$,230
הצלחה,27/11/2019 08:17,4,מסומן,200 Instagram Post likes for 4$,231
הצלחה,03/11/2019 03:13,6,מסומן,300 Instagram Post likes for 6$,168
הצלחה,03/11/2019 23:08,6,מסומן,100 YouTube video likes  for 6$,173
הצלחה,17/11/2019 07:29,6,מסומן,100 YouTube video likes  for 6$,203
הצלחה,23/11/2019 08:32,6,מסומן,100 YouTube video likes  for 6$,222
הצלחה,25/11/2019 03:16,6,מסומן,300 Instagram Post likes for 6$,225
הצלחה,30/11/2019 13:51,6,מסומן,100 YouTube video likes  for 6$,241
הצלחה,01/11/2019 20:54,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,729
הצלחה,02/11/2019 17:06,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,735
הצלחה,03/11/2019 19:12,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,750
הצלחה,03/11/2019 23:29,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,753
הצלחה,05/11/2019 01:33,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,764
הצלחה,05/11/2019 01:37,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,765
הצלחה,06/11/2019 01:23,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,776
הצלחה,06/11/2019 01:25,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,777
הצלחה,06/11/2019 20:26,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,786
הצלחה,07/11/2019 11:28,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,789
הצלחה,07/11/2019 11:31,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,790
הצלחה,07/11/2019 14:13,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,793
הצלחה,09/11/2019 19:52,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,815
הצלחה,14/11/2019 12:14,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,871
הצלחה,15/11/2019 14:04,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,895
הצלחה,15/11/2019 14:38,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,897
הצלחה,17/11/2019 15:34,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,926
הצלחה,17/11/2019 17:20,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,928
הצלחה,20/11/2019 19:30,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,967
הצלחה,21/11/2019 14:43,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,977
הצלחה,21/11/2019 15:48,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,978
הצלחה,21/11/2019 16:59,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,979
הצלחה,21/11/2019 19:17,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,982
הצלחה,22/11/2019 11:37,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,986
הצלחה,22/11/2019 16:09,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,991
הצלחה,23/11/2019 00:02,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,996
הצלחה,23/11/2019 18:48,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1007
הצלחה,23/11/2019 19:45,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1010
הצלחה,25/11/2019 20:38,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1036
הצלחה,26/11/2019 13:13,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1042
הצלחה,28/11/2019 22:43,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1074
הצלחה,29/11/2019 12:11,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1076
הצלחה,29/11/2019 14:05,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1078
הצלחה,01/12/2019 17:22,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1104
הצלחה,01/12/2019 17:25,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1105
הצלחה,01/12/2019 17:28,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1106
הצלחה,01/12/2019 20:00,7,מסומן,100 קניית לייקים לאינסטגרם ב-7₪,1109
