Proxy port,Type,Status,Zone,Targeting,Success,BW,Requests
24000,persist,ok,il_mobile_1,il,121,1149644,121
24001,persist,ok,il_mobile_1,il,1,1274,1
24002,persist,ok,il_mobile_1,il,1784,44600192,1798
24003,persist,ok,il_mobile_1,il,199,1942512,199
24004,persist,ok,il_mobile_1,il,131,1986115,133
24005,persist,ok,il_mobile_1,il,120,1427181,121
24006,persist,ok,il_mobile_1,il,195,2495241,195
24007,persist,ok,il_mobile_1,il,113,1699789,113
24008,persist,ok,il_mobile_1,il,1,1240,1
24009,persist,ok,il_mobile_1,il,124,2348603,124
24010,persist,ok,il_mobile_1,il,1,1257,1
24011,persist,ok,il_mobile_1,il,195,2036612,196
24012,persist,ok,il_mobile_1,il,104,857306,106
24013,persist,ok,il_mobile_1,il,66,563236,66
24014,persist,ok,il_mobile_1,il,89,1626969,89
24015,persist,ok,il_mobile_1,il,96,1068214,96
24016,persist,ok,il_mobile_1,il,219,1995338,223
24017,persist,ok,il_mobile_1,il,83,870466,83
24018,persist,ok,il_mobile_1,il,211,1746249,211
24019,persist,ok,il_mobile_1,il,1,1246,1
24020,persist,ok,il_mobile_1,il,179,1799924,181
24021,persist,ok,il_mobile_1,il,226,2745559,226
24022,persist,ok,il_mobile_1,il,310,3335951,320
24023,persist,ok,il_mobile_1,il,108,1349093,108
24024,persist,ok,il_mobile_1,il,393,4327531,393
24025,persist,ok,il_mobile_1,il,111,728200,115
24026,persist,ok,il_mobile_1,il,228,3281861,228
24027,persist,ok,il_mobile_1,il,152,1387972,152
24028,persist,ok,il_mobile_1,il,179,2304781,179
24029,persist,ok,il_mobile_1,il,141,1591788,142
24030,persist,ok,il_mobile_1,il,133,1387802,135
24031,persist,ok,il_mobile_1,il,127,1652179,129
24032,persist,ok,il_mobile_1,il,3,16394,3
24033,persist,ok,il_mobile_1,il,73,1046056,73
24034,persist,ok,il_mobile_1,il,117,1303779,119
24035,persist,ok,il_mobile_1,il,170,1821906,170
24036,persist,ok,il_mobile_1,il,161,1293446,161
24037,persist,ok,il_mobile_1,il,122,1558964,122
24038,persist,ok,il_mobile_1,il,192,1565097,261
24039,persist,ok,il_mobile_1,il,204,1516860,208
24040,persist,ok,il_mobile_1,il,168,2261217,168
24041,persist,ok,il_mobile_1,il,182,1941688,186
24042,persist,ok,il_mobile_1,il,986,9096245,1303
24043,persist,ok,il_mobile_1,il,1,1246,1
24044,persist,ok,il_mobile_1,il,137,1049745,141
24045,persist,ok,il_mobile_1,il,339,5295245,339
24046,persist,ok,il_mobile_1,il,379,5228637,381
24047,persist,ok,il_mobile_1,il,1,1270,1
24048,persist,ok,il_mobile_1,il,62,863413,62
24049,persist,ok,il_mobile_1,il,197,1985886,201
24050,persist,ok,il_mobile_1,il,160,1808172,160
24051,persist,ok,il_mobile_1,il,285,4069178,287
24052,persist,ok,il_mobile_1,il,1,1264,1
24053,persist,ok,il_mobile_1,il,91,1197649,104
24054,persist,ok,il_mobile_1,il,3,16411,3
24055,persist,ok,il_mobile_1,il,172,1691079,172
24056,persist,ok,il_mobile_1,il,193,2578482,193
24057,persist,ok,il_mobile_1,il,158,1333930,158
24058,persist,ok,il_mobile_1,il,152,1604331,154
24059,persist,ok,il_mobile_1,il,183,2347375,183
24060,persist,ok,il_mobile_1,il,203,3251116,203
24061,persist,ok,il_mobile_1,il,258,2826515,260
24062,persist,ok,il_mobile_1,il,270,3765943,270
24063,persist,ok,il_mobile_1,il,106,1483140,109
24064,persist,ok,il_mobile_1,il,133,1689318,133
24065,persist,ok,il_mobile_1,il,97,1063913,99
24066,persist,ok,il_mobile_1,il,110,1354349,110
24067,persist,ok,il_mobile_1,il,115,725507,117
24068,persist,ok,il_mobile_1,il,83,607344,83
24069,persist,ok,il_mobile_1,il,1,1250,1
24070,persist,ok,il_mobile_1,il,130,1429065,130
24071,persist,ok,il_mobile_1,il,88,1225585,88
24072,persist,ok,il_mobile_1,il,162,1911927,162
24073,persist,ok,il_mobile_1,il,1,1243,1
24074,persist,ok,il_mobile_1,il,49,624817,49
24075,persist,ok,il_mobile_1,il,102,667699,103
24076,persist,ok,il_mobile_1,il,160,1425833,164
24077,persist,ok,il_mobile_1,il,162,2437756,164
24078,persist,ok,il_mobile_1,il,124,794879,124
24079,persist,ok,il_mobile_1,il,103,718040,103
24080,persist,ok,il_mobile_1,il,1,1251,1
24081,persist,ok,il_mobile_1,il,1,1249,1
24082,persist,ok,il_mobile_1,il,264,2268900,267
24083,persist,ok,il_mobile_1,il,148,2031143,148
24084,persist,ok,il_mobile_1,il,147,1906076,149
24085,persist,ok,il_mobile_1,il,106,750003,106
24086,persist,ok,il_mobile_1,il,3,16443,3
24087,persist,ok,il_mobile_1,il,127,1518817,128
24088,persist,ok,il_mobile_1,il,60,784805,60
24089,persist,ok,il_mobile_1,il,99,1195747,99
24090,persist,ok,il_mobile_1,il,150,2116848,153
24091,persist,ok,il_mobile_1,il,307,2980824,310
