status,amount,rate
FTD,51,4.918 %
Appointment,24,2.314 %
CALLBACK,69,6.654 %
CallBack,55,5.304 %
Callinawhile,15,1.446 %
Cancelled,9,0.868 %
DO_NOT_CALL,1,0.096 %
DisconnectedNumber,3,0.289 %
Disqualified,43,4.147 %
Duplicated,1,0.096 %
FAILED_DEPOSIT,1,0.096 %
FollowUp,30,2.893 %
Highpotential,2,0.193 %
INITIAL_CALL,2,0.193 %
INVALID_COUNTRY,8,0.771 %
InvalidNumber,1,0.096 %
Invalidcountry,1,0.096 %
LostInterest,13,1.254 %
LowPotential,4,0.386 %
Meeting,16,1.543 %
NEW,57,5.497 %
NO_ANSWER,128,12.343 %
NO_ANSWER_2,7,0.675 %
NO_INTEREST,73,7.040 %
New,64,6.172 %
NoAnswer,163,15.718 %
NoAnswer2,2,0.193 %
NoEnglish,3,0.289 %
NoExperience,1,0.096 %
NoMoney,1,0.096 %
NoTime,1,0.096 %
Noanswer,71,6.847 %
Nomoneycallagain,6,0.579 %
NotInterested,29,2.797 %
POTENTIAL_HIGH,2,0.193 %
POTENTIAL_LOW,35,3.375 %
Pending,12,1.157 %
Potential,1,0.096 %
Renew,2,0.193 %
TEST,11,1.061 %
UNDER_18,1,0.096 %
UnderAge,1,0.096 %
WRONG_INFO,2,0.193 %
WRONG_NUMBER,9,0.868 %
WrongNumber,6,0.579 %
