status,amount,rate
FTD,32,3.567 %
Appointment,6,0.669 %
CALLBACK,1,0.111 %
CallBack,12,1.338 %
Callagain,1,0.111 %
Callback,201,22.408 %
Disqualified,19,2.118 %
Donotcall,13,1.449 %
FollowUp,3,0.334 %
Fraud,2,0.223 %
InvalidNumber,1,0.111 %
Junk,3,0.334 %
Languagebarrier,21,2.341 %
NoAnswer,22,2.453 %
NoAnswer15,8,0.892 %
NoCall,2,0.223 %
Noanswer,310,34.560 %
NoanswerNoanswer,1,0.111 %
NotInterested,1,0.111 %
Notinterested,146,16.276 %
Test,7,0.780 %
TestLead,1,0.111 %
VoiceMail,3,0.334 %
WRONG_NUMBER,1,0.111 %
WrongInfo,1,0.111 %
WrongNumber,1,0.111 %
Wrongnumber,17,1.895 %
callback,4,0.446 %
faulty,1,0.111 %
hot,3,0.334 %
inprogress,1,0.111 %
new,41,4.571 %
noanswer,7,0.780 %
noanswer3,1,0.111 %
noanswer4,1,0.111 %
noanswer5,1,0.111 %
notinterested,1,0.111 %
