status,amount,rate
FTD,23,2.764 %
Appointment,2,0.240 %
BNointerest,3,0.361 %
CALLBACK,3,0.361 %
CallBack,5,0.601 %
CallBackGeneral,2,0.240 %
Callback,115,13.822 %
Cancelled,2,0.240 %
Closednotinterested,2,0.240 %
Cold,2,0.240 %
DO_NOT_CALL,2,0.240 %
Disqualified,14,1.683 %
DoNotCall,1,0.120 %
Donotcall,11,1.322 %
FollowUp,11,1.322 %
FollowupAgentDecline,1,0.120 %
FollowupFirstnoninterested,5,0.601 %
Fraud,4,0.481 %
Hot,1,0.120 %
INVALID,1,0.120 %
INVALID_COUNTRY,1,0.120 %
InsufficientData,2,0.240 %
Junk,5,0.601 %
Languagebarrier,40,4.808 %
NA,1,0.120 %
NEVER_ANSWER,5,0.601 %
NEW,1,0.120 %
NEWNA,1,0.120 %
NO_ANSWER,14,1.683 %
NO_INTEREST,5,0.601 %
NO_MONEY,1,0.120 %
New,3,0.361 %
NoAnswer,52,6.250 %
Noanswer,186,22.356 %
Noanswer13,3,0.361 %
Noanswer2,1,0.120 %
Noanswer3,1,0.120 %
Noanswer5,2,0.240 %
NoanswerNoanswer,6,0.721 %
NotInterested,13,1.563 %
Notanswer,18,2.163 %
Notinterested,218,26.202 %
Pending,9,1.082 %
Renew,1,0.120 %
Switchoffoutofservicetempunavailable,4,0.481 %
Test,1,0.120 %
WRONG_NUMBER,4,0.481 %
WrongNumber,1,0.120 %
Wrongnumber,22,2.644 %
WrongnumberWrongnumber,1,0.120 %
