status,amount,rate
FTD,72,4.823 %
Appointment,24,1.608 %
BadExperience,1,0.067 %
CALLBACK,121,8.104 %
CallBack,55,3.684 %
Callinawhile,23,1.541 %
Cancelled,9,0.603 %
DO_NOT_CALL,1,0.067 %
DUPLICATE,1,0.067 %
DisconnectedNumber,4,0.268 %
Disqualified,43,2.880 %
Duplicated,1,0.067 %
FAILED_DEPOSIT,1,0.067 %
FollowUp,31,2.076 %
Highpotential,2,0.134 %
INITIAL_CALL,5,0.335 %
INVALID_COUNTRY,11,0.737 %
InvalidNumber,1,0.067 %
Invalidcountry,1,0.067 %
LostInterest,20,1.340 %
LowPotential,4,0.268 %
Meeting,24,1.608 %
NEW,85,5.693 %
NO_ANSWER,274,18.352 %
NO_ANSWER_2,13,0.871 %
NO_INTEREST,139,9.310 %
NO_MONEY,2,0.134 %
NeverRegistered,2,0.134 %
New,67,4.488 %
NoAnswer,165,11.052 %
NoAnswer2,2,0.134 %
NoEnglish,3,0.201 %
NoExperience,1,0.067 %
NoMoney,2,0.134 %
NoTime,1,0.067 %
Noanswer,103,6.899 %
Nomoneycallagain,7,0.469 %
NotInterested,30,2.009 %
POTENTIAL_HIGH,2,0.134 %
POTENTIAL_LOW,58,3.885 %
Pending,12,0.804 %
Potential,1,0.067 %
REASSIGN,12,0.804 %
Reallocation,1,0.067 %
Renew,2,0.134 %
TEST,18,1.206 %
UNDER_18,1,0.067 %
UnderAge,1,0.067 %
VoiceMail,2,0.134 %
WRONG_INFO,4,0.268 %
WRONG_NUMBER,21,1.407 %
WrongNumber,6,0.402 %
initial,1,0.067 %
