status,amount,rate
FTD,12,4.054 %
CALLBACK,48,16.216 %
DoNotCall,1,0.338 %
FAILED_DEPOSIT,4,1.351 %
INVALID_COUNTRY,1,0.338 %
NEVER_ANSWER,18,6.081 %
NEW,4,1.351 %
NO_ANSWER,84,28.378 %
NO_ANSWER_2,2,0.676 %
NO_ANSWER_3,1,0.338 %
NO_ANSWER_5,1,0.338 %
NO_INTEREST,60,20.270 %
NO_MONEY,3,1.014 %
NoAnswer,12,4.054 %
NoAnswer1,2,0.676 %
NoAnswer2,3,1.014 %
NoMoney,2,0.676 %
NotInterested,11,3.716 %
POTENTIAL_HIGH,1,0.338 %
POTENTIAL_LOW,4,1.351 %
REASSIGN,5,1.689 %
TEST,6,2.027 %
Test,1,0.338 %
WRONG_INFO,3,1.014 %
WRONG_NUMBER,7,2.365 %
