status,amount,rate
FTD,34,3.340 %
Appointment,6,0.589 %
BNointerest,1,0.098 %
BTest,1,0.098 %
BWrongnumber,1,0.098 %
CALLBACK,2,0.196 %
CallBack,12,1.179 %
Callagain,1,0.098 %
Callback,216,21.218 %
Disqualified,19,1.866 %
Donotcall,13,1.277 %
FollowUp,3,0.295 %
Fraud,4,0.393 %
InvalidNumber,1,0.098 %
Junk,3,0.295 %
Languagebarrier,21,2.063 %
NEW,1,0.098 %
NO_INTEREST,1,0.098 %
NoAnswer,22,2.161 %
NoAnswer15,8,0.786 %
NoCall,3,0.295 %
Noanswer,319,31.336 %
Noanswer13,36,3.536 %
NoanswerNoanswer,1,0.098 %
NotInterested,1,0.098 %
Notinterested,151,14.833 %
RNew,2,0.196 %
Reassign,17,1.670 %
RpotentialLow,4,0.393 %
Test,7,0.688 %
TestLead,1,0.098 %
Unavailable,2,0.196 %
VoiceMail,3,0.295 %
WRONG_NUMBER,2,0.196 %
WrongInfo,1,0.098 %
WrongNumber,1,0.098 %
Wrongnumber,18,1.768 %
callback,4,0.393 %
faulty,2,0.196 %
hot,3,0.295 %
inprogress,1,0.098 %
new,47,4.617 %
no_answer,9,0.884 %
noanswer,8,0.786 %
noanswer3,1,0.098 %
noanswer4,1,0.098 %
noanswer5,1,0.098 %
not_interested,1,0.098 %
notinterested,1,0.098 %
