status,amount,rate
FTD,24,2.746 %
Appointment,2,0.229 %
BNointerest,3,0.343 %
CALLBACK,3,0.343 %
CallBack,5,0.572 %
CallBackGeneral,2,0.229 %
Callback,123,14.073 %
Cancelled,2,0.229 %
Closednotinterested,2,0.229 %
Cold,2,0.229 %
DO_NOT_CALL,2,0.229 %
Disqualified,14,1.602 %
DoNotCall,1,0.114 %
Donotcall,11,1.259 %
FollowUp,11,1.259 %
FollowupAgentDecline,1,0.114 %
FollowupFirstnoninterested,5,0.572 %
Fraud,4,0.458 %
Hot,1,0.114 %
INVALID,1,0.114 %
INVALID_COUNTRY,1,0.114 %
InsufficientData,2,0.229 %
Junk,5,0.572 %
Languagebarrier,40,4.577 %
NA,1,0.114 %
NEVER_ANSWER,5,0.572 %
NEW,1,0.114 %
NEWNA,1,0.114 %
NO_ANSWER,14,1.602 %
NO_INTEREST,5,0.572 %
NO_MONEY,1,0.114 %
New,3,0.343 %
NoAnswer,52,5.950 %
Noanswer,202,23.112 %
Noanswer13,3,0.343 %
Noanswer2,1,0.114 %
Noanswer3,1,0.114 %
Noanswer5,2,0.229 %
NoanswerNoanswer,6,0.686 %
NotInterested,13,1.487 %
Notanswer,18,2.059 %
Notinterested,233,26.659 %
Pending,9,1.030 %
Renew,1,0.114 %
Switchoffoutofservicetempunavailable,4,0.458 %
Test,2,0.229 %
WRONG_NUMBER,4,0.458 %
WrongNumber,1,0.114 %
Wrongnumber,23,2.632 %
WrongnumberWrongnumber,1,0.114 %
